dim 1,dim 2,dim 3,dim 4,dim 5,sample_type,sample,sample_type_binary,KMeans labels
0.41295,0.33846,-0.00151,0.15037999999999999,0.07302,type 5,sample 0,bad,1
0.14682,0.39139,-0.11005999999999999,0.10939000000000002,0.06912,type 4,sample 1,good,0
0.14339000000000002,0.37299,-0.08922000000000001,0.12079000000000001,0.07567,type 4,sample 2,good,0
0.15627,0.47868999999999995,0.022869999999999998,0.19856,0.07708,type 1,sample 3,good,3
0.41134,0.33251,-0.00015,0.15017,0.0737,type 5,sample 4,bad,1
0.14842,0.48151000000000005,0.02851,0.19519,0.07343999999999999,type 1,sample 5,good,3
0.15367,0.48046000000000005,0.03272,0.19663,0.07602,type 1,sample 6,good,3
0.41601000000000005,0.33404,0.0007099999999999999,0.14939000000000002,0.07457000000000001,type 5,sample 7,bad,1
0.11187000000000001,0.21231,0.01629,0.1709,-0.00248,type 2,sample 8,bad,2
0.14637999999999998,0.39766999999999997,-0.09749,0.11615,0.07147,type 4,sample 9,good,0
0.41531,0.33523000000000003,0.0024,0.15292,0.07299,type 5,sample 10,bad,1
0.14096,0.37212,-0.08509,0.11979000000000001,0.07119,type 4,sample 11,good,0
0.40876999999999997,0.33657,-0.001,0.14931,0.07022,type 5,sample 12,bad,1
0.11309000000000001,0.21106999999999998,0.01492,0.17310999999999999,-0.00282,type 2,sample 13,bad,2
0.14934,0.39205,-0.1032,0.1116,0.07279,type 4,sample 14,bad,0
0.11039000000000002,0.21366999999999997,0.0131,0.16954,-0.00073,type 2,sample 15,bad,2
0.14943,0.39996,-0.09919,0.12009,0.07438,type 4,sample 16,good,0
0.1705,0.44046,0.04546,0.15671,0.07716,type 3,sample 17,bad,3
0.1486,0.38787,-0.10670999999999999,0.1103,0.06857,type 4,sample 18,good,0
0.10943,0.20686,0.01374,0.18087999999999999,0.06417,type 2,sample 19,bad,5
0.15498,0.4809,0.026989999999999997,0.19514,0.07399,type 1,sample 20,good,3
0.15439,0.48103999999999997,0.02661,0.19297,0.07502,type 1,sample 21,good,3
0.14338,0.4035,-0.07132000000000001,0.13335999999999998,0.07664,type 4,sample 22,good,0
0.14682,0.38702,-0.10954000000000001,0.11345,0.07396,type 4,sample 23,bad,0
0.14731,0.48483999999999994,0.03202,0.19482,0.0717,type 1,sample 24,good,3
0.14955,0.48093,0.030560000000000004,0.19705999999999999,0.07337,type 1,sample 25,good,3
0.14528,0.37931,-0.11779,0.10628,0.07228,type 4,sample 26,good,0
0.11172,0.20961,0.00512,0.18435,0.11619000000000002,type 2,sample 27,bad,5
0.10953,0.20349,0.01318,0.18338,0.07266,type 2,sample 28,bad,5
0.11051,0.20625,0.00974,0.18089,0.07367,type 2,sample 29,bad,5
0.36812,0.35833000000000004,0.00564,0.15913,0.07655,type 5,sample 30,bad,1
0.11256,0.21045,0.00635,0.19080999999999998,0.12788,type 2,sample 31,bad,5
0.10960999999999999,0.2025,0.01094,0.18800999999999998,0.08062000000000001,type 2,sample 32,bad,5
0.14845,0.39791,-0.09327,0.11896,0.06951,type 4,sample 33,good,0
0.11581,0.21443,0.00134,0.18277000000000002,0.11484000000000001,type 2,sample 34,bad,5
0.1562,0.43291,0.05766,0.1278,0.07654,type 3,sample 35,good,3
0.11039000000000002,0.20499,0.01208,0.18507,0.09197999999999999,type 2,sample 36,bad,5
0.11152999999999999,0.21070999999999998,0.00968,0.18503,0.11362,type 2,sample 37,bad,5
0.1493,0.39100999999999997,-0.10315999999999999,0.11533,0.0705,type 4,sample 38,bad,0
0.14679,0.39626,-0.10412,0.11402000000000001,0.06942000000000001,type 4,sample 39,bad,0
0.15409,0.48135,0.0274,0.19704000000000002,0.07393999999999999,type 1,sample 40,good,3
0.14534,0.39931,-0.08578999999999999,0.12394000000000001,0.07184,type 4,sample 41,bad,0
0.15084,0.39277,-0.11930999999999999,0.10309000000000001,0.06957999999999999,type 4,sample 42,bad,0
0.15405,0.48072,0.02393,0.19876,0.07509,type 1,sample 43,good,3
0.15325999999999998,0.47622,0.022719999999999997,0.19412000000000001,0.07612999999999999,type 1,sample 44,good,3
0.14187,0.45761999999999997,0.03305,0.1925,0.05415,type 1,sample 45,good,3
0.1089,0.20636999999999997,0.01612,0.17911,0.05041,type 2,sample 46,bad,2
0.14833,0.48053,0.03095,0.1943,0.07318,type 1,sample 47,good,3
0.11082,0.21325999999999998,0.00995,0.18475999999999998,0.07993,type 2,sample 48,bad,5
0.14827,0.48163999999999996,0.03215,0.19659000000000001,0.07547999999999999,type 1,sample 49,good,3
0.14475,0.38218,-0.1133,0.10636,0.0754,type 4,sample 50,good,0
0.16241,0.46135,0.03626,0.1689,0.07389,type 3,sample 51,good,3
0.1476,0.38915,-0.09912,0.11642999999999999,0.07733999999999999,type 4,sample 52,bad,0
0.11148,0.21220999999999998,0.01987,0.17371,0.0043,type 2,sample 53,bad,2
0.14639000000000002,0.39389,-0.11010999999999999,0.10847000000000001,0.07264,type 4,sample 54,bad,0
0.10939000000000002,0.20494,0.01401,0.17934,0.07482,type 2,sample 55,bad,5
0.14872,0.37804,-0.11112999999999999,0.10522999999999999,0.07385,type 4,sample 56,bad,0
0.40813,0.33776,-0.0005200000000000001,0.15411,0.07144,type 5,sample 57,good,1
0.111,0.20886999999999997,0.013430000000000001,0.17337,0.00381,type 2,sample 58,bad,2
0.15223,0.47931999999999997,0.025689999999999998,0.19402,0.07668,type 1,sample 59,good,3
0.41752,0.33655,0.00103,0.14986,0.0739,type 5,sample 60,bad,1
0.14055,0.35968,-0.09426,0.12064000000000001,0.07113,type 4,sample 61,bad,0
0.11218,0.20511,0.00472,0.19019,0.12741,type 2,sample 62,bad,5
0.41612,0.33389,0.00244,0.15093,0.07438,type 5,sample 63,bad,1
0.15109,0.41846000000000005,-0.06075,0.13480999999999999,0.07086,type 4,sample 64,bad,0
0.14941,0.41286000000000006,-0.06776,0.13067,0.07324,type 4,sample 65,bad,0
0.40844,0.33666999999999997,-0.00321,0.14998,0.07184,type 5,sample 66,good,1
0.15014,0.39111,-0.09786,0.11455,0.07379,type 4,sample 67,good,0
0.18175,0.43143000000000004,0.0418,0.14631,0.0772,type 3,sample 68,good,3
0.41241000000000005,0.33491,0.00105,0.15244000000000002,0.07505,type 5,sample 69,bad,1
0.15004,0.40704,-0.07578,0.1294,0.07691,type 4,sample 70,bad,0
0.14715,0.48183000000000004,0.030369999999999998,0.19159,0.07264,type 1,sample 71,good,3
0.1077,0.20779,0.01759,0.17725,0.0446,type 2,sample 72,bad,2
0.14555,0.42427,-0.06717999999999999,0.13277,0.07422000000000001,type 4,sample 73,good,0
0.1114,0.21656,0.013730000000000001,0.17623,0.04446,type 2,sample 74,bad,2
0.41045,0.33751,0.00262,0.1548,0.07421,type 5,sample 75,good,1
0.14739000000000002,0.40032,-0.10101,0.11893,0.06969,type 4,sample 76,good,0
0.14783,0.39678,-0.10535,0.11252999999999999,0.07343,type 4,sample 77,bad,0
0.41796000000000005,0.33476999999999996,-0.00032,0.14895999999999998,0.07455,type 5,sample 78,good,1
0.18887,0.40418000000000004,0.057010000000000005,0.10985999999999999,0.07628,type 3,sample 79,good,3
0.14949,0.48618999999999996,0.0367,0.20198,0.07416,type 1,sample 80,good,3
