dim 1	dim 2	dim 3	dim 4	dim 5	sample_type	sample	sample_type_binary
0.41295	0.33846	-0.00151	0.15038	0.07302	type 5	sample 0	bad
0.14682	0.39139	-0.11006	0.10939	0.06912	type 4	sample 1	good
0.14339	0.37299	-0.08922	0.12079	0.07567	type 4	sample 2	good
0.15627	0.47869	0.02287	0.19856	0.07708	type 1	sample 3	good
0.41134	0.33251	-0.00015	0.15017	0.0737	type 5	sample 4	bad
0.14842	0.48151	0.02851	0.19519	0.07344	type 1	sample 5	good
0.15367	0.48046	0.03272	0.19663	0.07602	type 1	sample 6	good
0.41601	0.33404	0.00071	0.14939	0.07457	type 5	sample 7	bad
0.11187	0.21231	0.01629	0.1709	-0.00248	type 2	sample 8	bad
0.14638	0.39767	-0.09749	0.11615	0.07147	type 4	sample 9	good
0.41531	0.33523	0.0024	0.15292	0.07299	type 5	sample 10	bad
0.14096	0.37212	-0.08509	0.11979	0.07119	type 4	sample 11	good
0.40877	0.33657	-0.001	0.14931	0.07022	type 5	sample 12	bad
0.11309	0.21107	0.01492	0.17311	-0.00282	type 2	sample 13	bad
0.14934	0.39205	-0.1032	0.1116	0.07279	type 4	sample 14	bad
0.11039	0.21367	0.0131	0.16954	-0.00073	type 2	sample 15	bad
0.14943	0.39996	-0.09919	0.12009	0.07438	type 4	sample 16	good
0.1705	0.44046	0.04546	0.15671	0.07716	type 3	sample 17	bad
0.1486	0.38787	-0.10671	0.1103	0.06857	type 4	sample 18	good
0.10943	0.20686	0.01374	0.18088	0.06417	type 2	sample 19	bad
0.15498	0.4809	0.02699	0.19514	0.07399	type 1	sample 20	good
0.15439	0.48104	0.02661	0.19297	0.07502	type 1	sample 21	good
0.14338	0.4035	-0.07132	0.13336	0.07664	type 4	sample 22	good
0.14682	0.38702	-0.10954	0.11345	0.07396	type 4	sample 23	bad
0.14731	0.48484	0.03202	0.19482	0.0717	type 1	sample 24	good
0.14955	0.48093	0.03056	0.19706	0.07337	type 1	sample 25	good
0.14528	0.37931	-0.11779	0.10628	0.07228	type 4	sample 26	good
0.11172	0.20961	0.00512	0.18435	0.11619	type 2	sample 27	bad
0.10953	0.20349	0.01318	0.18338	0.07266	type 2	sample 28	bad
0.11051	0.20625	0.00974	0.18089	0.07367	type 2	sample 29	bad
0.36812	0.35833	0.00564	0.15913	0.07655	type 5	sample 30	bad
0.11256	0.21045	0.00635	0.19081	0.12788	type 2	sample 31	bad
0.10961	0.2025	0.01094	0.18801	0.08062	type 2	sample 32	bad
0.14845	0.39791	-0.09327	0.11896	0.06951	type 4	sample 33	good
0.11581	0.21443	0.00134	0.18277	0.11484	type 2	sample 34	bad
0.1562	0.43291	0.05766	0.1278	0.07654	type 3	sample 35	good
0.11039	0.20499	0.01208	0.18507	0.09198	type 2	sample 36	bad
0.11153	0.21071	0.00968	0.18503	0.11362	type 2	sample 37	bad
0.1493	0.39101	-0.10316	0.11533	0.0705	type 4	sample 38	bad
0.14679	0.39626	-0.10412	0.11402	0.06942	type 4	sample 39	bad
0.15409	0.48135	0.0274	0.19704	0.07394	type 1	sample 40	good
0.14534	0.39931	-0.08579	0.12394	0.07184	type 4	sample 41	bad
